epoch,video_id,reward_div,reward_rep,reward_total
1,v1,0.2994,0.0014,0.1504
1,v10,0.3338,0.0003,0.1671
1,v11,0.3039,0.0008,0.1524
1,v12,0.3924,0.0010,0.1967
1,v13,0.1335,0.0021,0.0678
1,v14,0.4183,0.0006,0.2094
1,v15,0.1909,0.0339,0.1124
1,v16,0.3087,0.0004,0.1546
1,v17,0.3368,0.0006,0.1687
1,v18,0.2722,0.0063,0.1392
1,v19,0.3292,0.0008,0.1650
1,v2,0.3451,0.0020,0.1735
1,v20,0.2623,0.0009,0.1316
1,v21,0.3015,0.0014,0.1514
1,v22,0.2943,0.0010,0.1476
1,v23,0.2950,0.0011,0.1480
1,v24,0.3054,0.0014,0.1534
1,v25,0.3052,0.0013,0.1532
1,v26,0.3029,0.0007,0.1518
1,v27,0.2973,0.0007,0.1490
1,v28,0.3436,0.0006,0.1721
1,v29,0.3324,0.0006,0.1665
1,v3,0.3480,0.0000,0.1740
1,v30,0.3468,0.0012,0.1740
1,v31,0.3402,0.0006,0.1704
1,v32,0.2920,0.0012,0.1466
1,v33,0.2806,0.0006,0.1406
1,v34,0.2774,0.0034,0.1404
1,v35,0.3222,0.0009,0.1616
1,v36,0.3092,0.0014,0.1553
1,v37,0.3303,0.0008,0.1656
1,v38,0.3292,0.0013,0.1652
1,v39,0.3209,0.0014,0.1611
1,v4,0.3202,0.0000,0.1601
1,v40,0.3394,0.0009,0.1702
1,v41,0.2271,0.0013,0.1142
1,v42,0.3819,0.0052,0.1935
1,v43,0.3751,0.0000,0.1876
1,v44,0.3039,0.0013,0.1526
1,v45,0.3251,0.0002,0.1627
1,v46,0.3486,0.0008,0.1747
1,v47,0.3177,0.0008,0.1593
1,v48,0.3850,0.0004,0.1927
1,v49,0.3779,0.0009,0.1894
1,v5,0.2366,0.0011,0.1188
1,v50,0.3191,0.0074,0.1633
1,v51,0.2755,0.0011,0.1383
1,v52,0.2308,0.0013,0.1160
1,v53,0.3181,0.0010,0.1596
1,v54,0.2783,0.0006,0.1394
1,v55,0.3949,0.0011,0.1980
1,v56,0.4472,0.0003,0.2238
1,v57,0.2674,0.0014,0.1344
1,v58,0.2972,0.0002,0.1487
1,v59,0.3325,0.0007,0.1666
1,v6,0.2706,0.0012,0.1359
1,v60,0.3119,0.0008,0.1563
1,v61,0.3430,0.0010,0.1720
1,v62,0.3136,0.0013,0.1574
1,v63,0.3078,0.0009,0.1543
1,v64,0.3368,0.0015,0.1691
1,v65,0.2839,0.0032,0.1436
1,v66,0.3427,0.0008,0.1717
1,v67,0.3233,0.0017,0.1625
1,v68,0.3359,0.0005,0.1682
1,v69,0.3309,0.0025,0.1667
1,v7,0.2941,0.0148,0.1544
1,v70,0.2884,0.0077,0.1480
1,v71,0.2843,0.0018,0.1430
1,v72,0.3065,0.0014,0.1539
1,v73,0.3204,0.0019,0.1611
1,v8,0.3178,0.0017,0.1598
1,v9,0.3260,0.0014,0.1637
1,v1,0.3063,0.0625,0.1844,0.1268
1,v10,0.2739,0.0674,0.1707,0.1164
1,v11,0.3175,0.0616,0.1896,0.1286
1,v12,0.3851,0.0892,0.2371,0.1580
1,v13,0.1378,0.0482,0.0930,0.0649
1,v14,0.3429,0.0580,0.2004,0.1332
1,v15,0.2490,0.3162,0.2826,0.1866
1,v16,0.3266,0.0778,0.2022,0.1294
1,v17,0.3466,0.1071,0.2269,0.1442
1,v18,0.3015,0.1851,0.2433,0.1560
1,v19,0.3302,0.1105,0.2203,0.1395
1,v2,0.3172,0.0929,0.2050,0.1411
1,v20,0.2866,0.1305,0.2085,0.1275
1,v21,0.2997,0.1478,0.2238,0.1390
1,v22,0.2967,0.1645,0.2306,0.1410
1,v23,0.3078,0.0955,0.2016,0.1326
1,v24,0.3082,0.1409,0.2245,0.1399
1,v25,0.3221,0.1019,0.2120,0.1373
1,v26,0.2941,0.1151,0.2046,0.1289
1,v27,0.3124,0.0892,0.2008,0.1319
1,v28,0.3367,0.1132,0.2250,0.1394
1,v29,0.3409,0.0710,0.2060,0.1338
1,v3,0.3263,0.0941,0.2102,0.1248
1,v30,0.3347,0.1450,0.2399,0.1484
1,v31,0.3595,0.1342,0.2469,0.1497
1,v32,0.3018,0.1369,0.2194,0.1393
1,v33,0.3017,0.1526,0.2272,0.1372
1,v34,0.2791,0.3154,0.2973,0.1693
1,v35,0.3124,0.1449,0.2286,0.1395
1,v36,0.3071,0.2078,0.2575,0.1463
1,v37,0.3405,0.2178,0.2792,0.1539
1,v38,0.3418,0.2561,0.2990,0.1631
1,v39,0.3260,0.2243,0.2752,0.1543
1,v4,0.2952,0.2435,0.2694,0.1159
1,v40,0.3361,0.2893,0.3127,0.1578
1,v41,0.2838,0.2459,0.2649,0.1416
1,v42,0.3368,0.5173,0.4271,0.1964
1,v43,0.3532,0.0549,0.2041,0.1142
1,v44,0.3022,0.3912,0.3467,0.1540
1,v45,0.3300,0.2306,0.2803,0.1279
1,v46,0.3413,0.4048,0.3730,0.1550
1,v47,0.3196,0.2583,0.2889,0.1403
1,v48,0.3910,0.4965,0.4438,0.1565
1,v49,0.3799,0.4012,0.3906,0.1646
1,v5,0.2606,0.4895,0.3750,0.1540
1,v50,0.3073,0.5575,0.4324,0.1807
1,v51,0.2769,0.4823,0.3796,0.1329
1,v52,0.2427,0.4558,0.3493,0.1326
1,v53,0.3240,0.4752,0.3996,0.1504
1,v54,0.3133,0.4702,0.3917,0.1509
1,v55,0.4005,0.6378,0.5191,0.1565
1,v56,0.4470,0.5513,0.4991,0.1777
1,v57,0.2803,0.5533,0.4168,0.1336
1,v58,0.2598,0.2100,0.2349,0.1166
1,v59,0.3142,0.5394,0.4268,0.1414
1,v6,0.2722,0.5686,0.4204,0.1411
1,v60,0.3302,0.5020,0.4161,0.1367
1,v61,0.3428,0.5501,0.4465,0.1450
1,v62,0.3239,0.6808,0.5024,0.1335
